Name,Selector,Context
"Main_Page","#mp-otd > ul > li:nth-child(3) > a:nth-child(6)","<a href="/wiki/Sports_in_the_United_States" title="Sports in the United States">American professional team spor...</a>"
"81st_Golden_Globe_Awards","#mw-content-text > div:nth-child(1) > div:nth-child(66) > table > tbody > tr:nth-child(1) > th > button > span","<span class="mw-collapsible-text">hide</span>"
"81st_Golden_Globe_Awards","#Golden_Globe_Awards > a","<a href="/wiki/Golden_Globe_Awards" title="Golden Globe Awards">Golden Globe Awards</a>"
"81st_Golden_Globe_Awards","#mw-content-text > div:nth-child(1) > div:nth-child(66) > table > tbody > tr:nth-child(5) > th > a","<a href="/wiki/List_of_Golden_Globe_Awards_ceremonies" title="List of Golden Globe Awards ceremonies">Ceremonies</a>"
"81st_Golden_Globe_Awards","#mw-content-text > div:nth-child(1) > table:nth-child(4) > tbody > tr:nth-child(18) > td > div > ul > li:nth-child(1)","<li>←&nbsp;<a href="/wiki/80th_Gold...</li>"
"81st_Golden_Globe_Awards","#CITEREFOtterson2023 > a","<a rel="nofollow" class="external text" href="https://variety.com/2023/awards/news/golden-globe-awards-cbs-2024-1235795855/">"Golden Globe Awards to Air on ...</a>"
"81st_Golden_Globe_Awards","#CITEREFGrobar2023 > a","<a rel="nofollow" class="external text" href="https://deadline.com/2023/12/jo-koy-golden-globes-host-1235679737/">"Jo Koy to Host 81st Golden Glo...</a>"
"81st_Golden_Globe_Awards","#CITEREFCampione2024 > a","<a rel="nofollow" class="external text" href="https://deadline.com/2024/01/golden-globes-ratings-2024-cbs-1235699268/">"Golden Globes Audience Up 50% ...</a>"
"81st_Golden_Globe_Awards","#CITEREFDonnelly2023 > a","<a rel="nofollow" class="external text" href="https://variety.com/2023/film/news/golden-globes-2024-air-date-network-streaming-1235529724/">"Golden Globes Return to Sunday...</a>"
"81st_Golden_Globe_Awards","#CITEREFSchneider2023 > a","<a rel="nofollow" class="external text" href="https://variety.com/2023/tv/news/golden-globes-producers-2024-glenn-weiss-ricky-kirshner-1235726430/">"Golden Globes Nabs Oscar Produ...</a>"
"81st_Golden_Globe_Awards","#CITEREFPedersen2024 > a","<a rel="nofollow" class="external text" href="https://deadline.com/2024/01/2024-golden-globes-winners-1235697375/">"<span class="cs1-kern-left"></...</a>"
"81st_Golden_Globe_Awards","#CITEREFNordyke2024 > a","<a rel="nofollow" class="external text" href="https://www.hollywoodreporter.com/movies/movie-news/golden-globes-2024-winners-list-1235781166/">"Golden Globes: Winners List"</a>"
"81st_Golden_Globe_Awards","#CITEREFLangMoreau2024 > a","<a rel="nofollow" class="external text" href="https://variety.com/2024/film/awards/golden-globes-2024-winners-list-1235859774/">"Golden Globes: 'Oppenheimer' L...</a>"
"81st_Golden_Globe_Awards","#CITEREFHipesAndreeva2023 > a","<a rel="nofollow" class="external text" href="https://deadline.com/2023/12/golden-globe-nominations-2024-1235660995/">"Golden Globe Nominations: 'Bar...</a>"
"81st_Golden_Globe_Awards","#CITEREFD'Alessandro2023 > a","<a rel="nofollow" class="external text" href="https://deadline.com/2023/12/barbenheimer-golden-globes-nominations-barbie-oppenheimer-1235661405/">"<span class="cs1-kern-left"></...</a>"
"81st_Golden_Globe_Awards","#CITEREFAndreeva2023 > a","<a rel="nofollow" class="external text" href="https://deadline.com/2023/12/succession-golden-globes-tv-record-nominations-final-season-1235661410/">"<span class="cs1-kern-left"></...</a>"
"81st_Golden_Globe_Awards","#CITEREFSaha2023 > a","<a rel="nofollow" class="external text" href="https://www.salon.com/2023/12/11/barbenheimer-dominates-the-golden-globes-with-17-total-nominations/">"<span class="cs1-kern-left"></...</a>"
"81st_Golden_Globe_Awards","#CITEREFBradshaw2023 > a:nth-child(2)","<a rel="nofollow" class="external text" href="https://www.theguardian.com/film/2023/dec/11/golden-globes-barbie-2024-nominations-scorsese-oppenheimer-yorgos-yanthimos">"It's 'Barbenheimer' mark two a...</a>"
"81st_Golden_Globe_Awards","#CITEREFMarszal2024 > a","<a rel="nofollow" class="external text" href="https://www.barrons.com/news/new-look-golden-globes-prepares-to-toast-barbenheimer-f0044428">"New-look Golden Globes Prepare...</a>"
"81st_Golden_Globe_Awards","#CITEREFDonnelly2023 > a","<a rel="nofollow" class="external text" href="https://variety.com/2023/film/news/golden-globes-adds-new-categories-box-office-hits-stand-up-comedy-1235735117/">"Golden Globes Adds Two New Cat...</a>"
"81st_Golden_Globe_Awards","#cite_note-16 > span:nth-child(2) > cite > a:nth-child(1)","<a rel="nofollow" class="external text" href="https://goldenglobes.com/articles/dick-clark-productions-and-eldridge-acquire-golden-globes/">"Dick Clark Productions and Eld...</a>"
